index,Pathway
1272,PWY-6772
1273,PWY8J2-1
1274,PWY-6574
1275,PWY-6765
1276,P241-PWY
1277,PWY-6785
1278,PWY-5196
1279,PWY-6744
1280,PWY-761
1281,PWY-5198
1282,PWY-6759
1283,PWY-5199
1284,PWY-6512
1285,PWY-5207
1286,PWY-5382
1287,PWY-4181
1288,PWY-5254
1289,P283-PWY
1290,PWY-6289
1291,PWY-5796
1292,PWY-5135
1293,PWY-5915
1294,PWY-6914
1295,PWY-5917
1296,PWY1G-126
1297,PWY-6376
1298,PWY-6148
1299,PWY-5475
1300,PWY-6381
1301,PWY-6420
1302,PWY-5476
1303,PWY-7064
1304,PWY-6409
1305,GALDEG-PWY
1306,PWY-6693
1307,PWY-7578
1308,PWY-7579
1309,PWY-6361
1310,PWY-7580
1311,PWY-7577
1312,PWY-7639
1313,PWY-7568
1314,PWY-7710
1315,PWY-5392
1316,PWY-5925
1317,GALLATE-DEGRADATION-I-PWY
1318,PWY-6372
1319,P3-PWY
1320,GALLATE-DEGRADATION-II-PWY
1321,P42-PWY
1322,PWY-6637
1323,PWY-6375
1324,PWY-5477
1325,P23-PWY
1326,PWY-6616
1327,PWY-6379
1328,PWY-7781
1329,PWY-4781
1330,PWY-7374
1331,PWY-6638
1332,PWY-6408
1333,PWY-7371
1334,PWY-6273
1335,PWY-6540
1336,PWY-5480
1337,12DICHLORETHDEG-PWY
1338,PWY-5195
1339,GAMMAHEXCHLORDEG-PWY
1340,PCEDEG-PWY
1341,PWY-7409
1342,PCPDEG-PWY
1343,NOPALINEDEG-PWY
1344,PWY-6587
1345,PWY-1281
1346,PWY-5822
1347,OCTOPINEDEG-PWY
1348,PWY-7425
1349,PWY-7497
1350,PWY-31
1351,PWY-7428
1352,PWY-6999
1353,PWY-6718
1354,PWY-5461
1355,PWY-7736
1356,PWY-5982
1357,PWY-7720
